2,S.T.E.M.-Tech,17,23STEMT,Don Vicente Rama Mem'l Elementary School,Cebu City,Cebu,"Basak Pardo, Baskio"
2,S.T.E.M.-Tech,17,23STEMT,LITTLE ANGELS MONTESSORI SCHOOL OF CEBU,Cebu City,Cebu,"43 Upper Manol, Tisa"
2,S.T.E.M.-Tech,17,23STEMT,LOURDES KINDERGARTEN SCHOOL,Cebu City,Cebu,"59 Don Bosco Rd., Punta Princesa"
2,S.T.E.M.-Tech,17,23STEMT,"Little Flower School, Inc.",CEBU CITY,CEBU,"656 D. MELGAR ST., ILAYA, DUMANJUG"
2,S.T.E.M.-Tech,17,23STEMT,Monterey School Inc.,Talisay City,Cebu,"Alberlyn South Subdivision, Cansojong"
2,S.T.E.M.-Tech,17,00STEM,University of San Carlos South Campus,Cebu City,Cebu,VIP Village Laray Inayawan
2,S.T.E.M.-Tech,17,23STEMT,Athenaeum International School,Cebu City,Cebu,#47 Maria Gochan Subd. Mambaling
2,S.T.E.M.-Tech,16,23STEMT,SAINT PAUL EDUCATIONAL CENTER,Cebu City,Cebu,"30-E Sabellano St., Punta Princesa"
2,S.T.E.M.-Tech,16,23STEMT,VILLE ST. JOHN SCHOOL INC.,Talisay City,Cebu,"Blk 4 Lt 3 Palm River Subd., Biasong"
2,S.T.E.M.-Tech,17,23STEMT,Talisay Mind-Power Creativity Center,Minglanilla,Cebu,"Phase 3 Deca Homes, Tungkil"
2,S.T.E.M.-Tech,18,00STEM,Rainbow Connection Child Learning Center,Cebu City,Cebu,"#66 Greenbelt Drive, Quiot"
2,S.T.E.M.-Tech,17,23STEMT,"Monterey School, Inc.", TALISAY CITY, CEBU,"BLK 7, LOT 2, DECA HOMES PHASE 3, DUMLOG"
2,S.T.E.M.-Tech,17,23STEMT,Cebu Sacred Heart College,Talisay City,Cebu,"Fairview Village Diamond St., Lawaan II"
2,S.T.E.M.-Tech,17,23STEMT,"Campbell Academy Foudnation, Inc.",Talisay City,Cebu,"18-A Smyrna Subdivision, Bulacao"
2,S.T.E.M.-Tech,17,00STEM,Athenaeum International School,Cebu City,Cebu,"Moncono St. 19, Lapalome Subd., Labangon"
2,S.T.E.M.-Tech,17,23STEMT,Bohol Wisdom School,Talisay City,Cebu,"Door 3 Abellana Building Apartment, Bascon St.,"
2,S.T.E.M.-Tech,17,23STEMT,Monterey School INC, TALISAY CITY, CEBU,BLK 11 LOT 15 PALM RIVER SUBD PHASE2  BIASONG
2,S.T.E.M.-Tech,19,00STEM,St. Paul College Foundation Inc. - Cebu,Cebu City,Cebu,93 Don Bsoco Rd. Punta Princesa
2,S.T.E.M.-Tech,17,00STEM,Saint Mary&#039;s Academy of San Nicolas,CEBU CITY,CEBU,MISSIONARIES ST. SUBA CEBU CITY
2,S.T.E.M.-Tech,18,23STEMT,Southwestern University,Cebu City,Cebu,"#84 E. Mighty Villa Subd., Sabellano St., Quiot"
2,S.T.E.M.-Tech,19,23STEME,Academia System Global Colleges, MINGLANILLA, CEBU,"Bkl; 12A Lot 5 Midori Plains, Tungkop"
2,S.T.E.M.-Tech,17,23STEME,Lourdes Kindergarten School,Minglanilla,Cebu,"Blk 13, Lot 7,Velmiro Heights Subd.,Tunghaan"
2,S.T.E.M.-Tech,17,23STEMT,St. Thomas Aquinas School of Bulacao,Cebu City,Cebu,"Odevilas' Subd., Ph 1A, Mohon 2, Tisa"
2,S.T.E.M.-Tech,17,00STEM,Newbery Interactive School,CEBU CITY,CEBU,"HONEY HOMES SUBDIVISION, F. JACA ST., POBLACION PA"
2,S.T.E.M.-Tech,17,00STEM,Holy Rosary School Of Pardo,CEBU CITY,CEBU,"SMI ROAD, NUNOK, PUROK MALAUMON NONOC KALUBIHAN TA"
2,S.T.E.M.-Tech,17,23STEMT,Cebu Sacred heart College,Talisay City,Cebu,Lot 4 Blk 15 Phase 30 Tiewa Grande Camella Homes
2,S.T.E.M.-Tech,17,23STEMT,Newbery Interactive School,CEBU CITY,CEBU,"HONEY HOMES SUBDIVISION, F. JACA ST., POBLACION PA"
2,S.T.E.M.-Tech,17,00STEM,Asian College of Technology - Integrated,Talisay City,Cebu,"Purok Greenhills, Sambagan, Lagtang"
2,S.T.E.M.-Tech,17,00STEM,"Campillo Progressive School, inc.", SAN FRANCISCO, CEBU,"HIMENSULAN, SAN FRANCISCO, CAMOTES VEBU"
2,S.T.E.M.-Tech,17,23STEMT,University of San Carlos Basic Education,CEBU CITY,CEBU,"59 C A. LOPEZ ST. CALAMBA , CEBU CITY"
2,S.T.E.M.-Tech,16,,Maria Montessori International School,Cebu City,Cebu,"Sitio Sto. Ni�o, Kintanar Compound, Cogon Pardo"
